goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___Encode_____XNumber-16                        	 9045453	      1389 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XNumber-16                        	48543375	       217 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XNumber-16                	 9176842	      1433 ns/op	    2009 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XNumber-16                	45734082	       243 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Decode_____XNumber-16                        	36900145	       355 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_XNumber-16                        	41544201	       292 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Encode_____VNumber-16                        	 9157123	      1268 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VNumber-16                        	174707085	        69.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VNumber-16                	 8712957	      1370 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VNumber-16                	89162432	       134 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VNumber-16                        	62217351	       209 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VNumber-16                        	80632819	       142 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Encode_____XStringSmall-16                   	 8372439	      1366 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XStringSmall-16                   	58005594	       228 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XStringSmall-16           	 8352667	      1486 ns/op	    2018 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XStringSmall-16           	43605554	       250 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XStringSmall-16                   	32670871	       363 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_XStringSmall-16                   	38780070	       303 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___Encode_____VStringSmall-16                   	10855555	      1098 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VStringSmall-16                   	183010640	        63.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStringSmall-16           	 9950563	      1193 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VStringSmall-16           	98928805	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VStringSmall-16                   	49018165	       237 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VStringSmall-16                   	70264330	       165 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___Encode_____XStringLarge-16                   	  540615	     22226 ns/op	  149574 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_XStringLarge-16                   	 4443055	      2711 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XStringLarge-16           	  519378	     22395 ns/op	  149589 B/op	      13 allocs/op
BenchmarkVom___EncodeManyOptional_XStringLarge-16           	 4399560	      2871 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XStringLarge-16                   	 1000000	     10815 ns/op	   65604 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_XStringLarge-16                   	 1000000	     10923 ns/op	   65552 B/op	       2 allocs/op
BenchmarkVom___Encode_____VStringLarge-16                   	  540609	     22604 ns/op	  149575 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_VStringLarge-16                   	 4393201	      2601 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStringLarge-16           	  484545	     23296 ns/op	  149574 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_VStringLarge-16           	 4232341	      2811 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VStringLarge-16                   	 1205569	      9362 ns/op	   65604 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VStringLarge-16                   	 1297443	      9272 ns/op	   65552 B/op	       2 allocs/op
BenchmarkVom___Encode_____VEnum-16                          	 8041359	      1441 ns/op	    2258 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_VEnum-16                          	185506146	        68.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VEnum-16                  	 7253173	      1652 ns/op	    2258 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_VEnum-16                  	93291159	       134 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VEnum-16                          	59591306	       199 ns/op	       8 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VEnum-16                          	89478583	       137 ns/op	       8 B/op	       1 allocs/op
BenchmarkVom___Encode_____XByteListSmall-16                 	 8555228	      1397 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XByteListSmall-16                 	50299142	       222 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XByteListSmall-16         	 8214487	      1440 ns/op	    2034 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XByteListSmall-16         	44315328	       277 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XByteListSmall-16                 	28550724	       417 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XByteListSmall-16                 	33610387	       363 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteListSmall-16                 	10180294	      1171 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VByteListSmall-16                 	160856935	        76.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListSmall-16         	 9423447	      1265 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListSmall-16         	91112475	       129 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListSmall-16                 	43101075	       281 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_VByteListSmall-16                 	57240957	       209 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____XByteListLarge-16                 	  545188	     22357 ns/op	  149575 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_XByteListLarge-16                 	 4366404	      2727 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XByteListLarge-16         	  534878	     22386 ns/op	  149607 B/op	      13 allocs/op
BenchmarkVom___EncodeManyOptional_XByteListLarge-16         	 4140646	      2903 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XByteListLarge-16                 	 1270566	      9450 ns/op	   65653 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XByteListLarge-16                 	 1257390	     10525 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteListLarge-16                 	  479545	     25001 ns/op	  149575 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_VByteListLarge-16                 	 3993578	      2944 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListLarge-16         	  460148	     25673 ns/op	  149574 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListLarge-16         	 3853599	      3131 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListLarge-16                 	 1000000	     10666 ns/op	   65653 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_VByteListLarge-16                 	 1000000	     10719 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____XByteArray-16                     	 6281208	      1741 ns/op	    2037 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_XByteArray-16                     	35811480	       334 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___EncodeOptional_____XByteArray-16             	 8186619	      1495 ns/op	    2037 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_XByteArray-16             	35872788	       341 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Decode_____XByteArray-16                     	24771253	       488 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XByteArray-16                     	28886844	       407 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteArray-16                     	 8718774	      1371 ns/op	    2005 B/op	      11 allocs/op
BenchmarkVom___EncodeMany_VByteArray-16                     	100000000	       106 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___EncodeOptional_____VByteArray-16             	 7939713	      1486 ns/op	    2005 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_VByteArray-16             	70545954	       178 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___Decode_____VByteArray-16                     	41144133	       275 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VByteArray-16                     	61588260	       205 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Encode_____XArray-16                         	 6870202	      1715 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XArray-16                         	35534744	       355 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XArray-16                 	 6784012	      1724 ns/op	    2017 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XArray-16                 	29094325	       404 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XArray-16                         	22338361	       480 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_XArray-16                         	28275618	       437 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____VArray-16                         	 8411611	      1473 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VArray-16                         	77175462	       138 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VArray-16                 	 7999078	      1465 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VArray-16                 	56767054	       220 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VArray-16                         	40051647	       286 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VArray-16                         	58666274	       214 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____XListSmall-16                     	 6871327	      1680 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XListSmall-16                     	33661504	       355 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListSmall-16             	 6650622	      1724 ns/op	    2034 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XListSmall-16             	28789440	       406 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListSmall-16                     	19930531	       655 ns/op	      80 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XListSmall-16                     	22467444	       550 ns/op	      80 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListSmall-16                     	 8454786	      1438 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VListSmall-16                     	80165224	       146 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListSmall-16             	 7593219	      1554 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VListSmall-16             	50474095	       229 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListSmall-16                     	33764758	       350 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VListSmall-16                     	44174804	       252 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListLarge-16                     	    6368	   1807357 ns/op	  754135 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_XListLarge-16                     	    7264	   1713943 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListLarge-16             	    6195	   1825614 ns/op	  754167 B/op	      20 allocs/op
BenchmarkVom___EncodeManyOptional_XListLarge-16             	    7628	   1486309 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListLarge-16                     	    9096	   1324477 ns/op	  262380 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XListLarge-16                     	    7941	   1436820 ns/op	  262209 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListLarge-16                     	    9883	   1210276 ns/op	  754136 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_VListLarge-16                     	   10000	   1051466 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListLarge-16             	    9870	   1188263 ns/op	  754135 B/op	      19 allocs/op
BenchmarkVom___EncodeManyOptional_VListLarge-16             	   10000	   1059763 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListLarge-16                     	   14298	    827005 ns/op	  262348 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VListLarge-16                     	   13383	    857153 ns/op	  262176 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListAnySmall-16                  	 2501288	      4407 ns/op	    8336 B/op	      29 allocs/op
BenchmarkVom___EncodeMany_XListAnySmall-16                  	 3998840	      3022 ns/op	    5172 B/op	      18 allocs/op
BenchmarkVom___EncodeOptional_____XListAnySmall-16          	 2578977	      4798 ns/op	    8368 B/op	      30 allocs/op
BenchmarkVom___EncodeManyOptional_XListAnySmall-16          	 3933537	      3061 ns/op	    5204 B/op	      19 allocs/op
BenchmarkVom___Decode_____XListAnySmall-16                  	 7555147	      1504 ns/op	     411 B/op	      12 allocs/op
BenchmarkVom___DecodeMany_XListAnySmall-16                  	 8466987	      1429 ns/op	     411 B/op	      12 allocs/op
BenchmarkVom___Encode_____VListAnySmall-16                  	 2789131	      4275 ns/op	    8336 B/op	      29 allocs/op
BenchmarkVom___EncodeMany_VListAnySmall-16                  	 5088243	      2633 ns/op	    5172 B/op	      18 allocs/op
