goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___Encode_____XNumber-16                        	 7615614	      1555 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_XNumber-16                        	57556786	       209 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XNumber-16                	 7533189	      1595 ns/op	    2920 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_XNumber-16                	50329071	       238 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Decode_____XNumber-16                        	20049064	       584 ns/op	     516 B/op	       7 allocs/op
BenchmarkVom___DecodeMany_XNumber-16                        	46028457	       263 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Encode_____VNumber-16                        	 8706009	      1360 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_VNumber-16                        	160761756	        74.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VNumber-16                	 8265704	      1449 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_VNumber-16                	85499565	       136 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VNumber-16                        	26130577	       449 ns/op	     516 B/op	       7 allocs/op
BenchmarkVom___DecodeMany_VNumber-16                        	84750658	       144 ns/op	       4 B/op	       1 allocs/op
BenchmarkVom___Encode_____XStringSmall-16                   	 7577778	      1568 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_XStringSmall-16                   	54685374	       220 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XStringSmall-16           	 7501531	      1593 ns/op	    2929 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_XStringSmall-16           	47118339	       258 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XStringSmall-16                   	18998451	       633 ns/op	     531 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_XStringSmall-16                   	38216702	       312 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___Encode_____VStringSmall-16                   	 8884274	      1353 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_VStringSmall-16                   	147990824	        81.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStringSmall-16           	 8369478	      1440 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_VStringSmall-16           	84176544	       139 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VStringSmall-16                   	23713904	       500 ns/op	     531 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VStringSmall-16                   	65385429	       181 ns/op	      19 B/op	       2 allocs/op
BenchmarkVom___Encode_____XStringLarge-16                   	  537540	     22312 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_XStringLarge-16                   	 4219116	      2744 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XStringLarge-16           	  526651	     22444 ns/op	  150386 B/op	      18 allocs/op
BenchmarkVom___EncodeManyOptional_XStringLarge-16           	 4168003	      2923 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XStringLarge-16                   	 1246096	      9752 ns/op	   66064 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_XStringLarge-16                   	 1267545	      9601 ns/op	   65552 B/op	       2 allocs/op
BenchmarkVom___Encode_____VStringLarge-16                   	  516308	     23350 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_VStringLarge-16                   	 4071984	      2681 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStringLarge-16           	  520108	     22766 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_VStringLarge-16           	 4468246	      2674 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VStringLarge-16                   	 1295247	      9320 ns/op	   66064 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VStringLarge-16                   	 1336101	      9044 ns/op	   65552 B/op	       2 allocs/op
BenchmarkVom___Encode_____VEnum-16                          	 7074832	      1704 ns/op	    3169 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_VEnum-16                          	142325848	        84.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VEnum-16                  	 6782313	      1772 ns/op	    3169 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_VEnum-16                  	80805784	       147 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VEnum-16                          	25835500	       473 ns/op	     520 B/op	       7 allocs/op
BenchmarkVom___DecodeMany_VEnum-16                          	74528928	       162 ns/op	       8 B/op	       1 allocs/op
BenchmarkVom___Encode_____XByteListSmall-16                 	 7454947	      1614 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_XByteListSmall-16                 	53627814	       222 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XByteListSmall-16         	 7264225	      1652 ns/op	    2945 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_XByteListSmall-16         	42325294	       275 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XByteListSmall-16                 	17934454	       667 ns/op	     579 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_XByteListSmall-16                 	34127154	       362 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteListSmall-16                 	 8476302	      1425 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeMany_VByteListSmall-16                 	145340977	        83.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListSmall-16         	 7976080	      1499 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListSmall-16         	84819324	       143 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListSmall-16                 	22405479	       540 ns/op	     579 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VByteListSmall-16                 	53760830	       226 ns/op	      67 B/op	       3 allocs/op
