Benchmark	Original ns/op	Current ns/op	Original allocs/op	Current allocs/op
BenchmarkVom___Encode_____XNumber-16                        	      1555 	      1389 	      15 	      10 
BenchmarkVom___EncodeMany_XNumber-16                        	       209 	       217 	       0 	       0 
BenchmarkVom___EncodeOptional_____XNumber-16                	      1595 	      1433 	      16 	      11 
BenchmarkVom___EncodeManyOptional_XNumber-16                	       238 	       243 	       1 	       1 
BenchmarkVom___Decode_____XNumber-16                        	       584 	       355 	       7 	       1 
BenchmarkVom___DecodeMany_XNumber-16                        	       263 	       292 	       1 	       1 
BenchmarkVom___Encode_____VNumber-16                        	      1360 	      1268 	      15 	      10 
BenchmarkVom___EncodeMany_VNumber-16                        	        74.0 	        69.6 	       0 	       0 
BenchmarkVom___EncodeOptional_____VNumber-16                	      1449 	      1370 	      15 	      10 
BenchmarkVom___EncodeManyOptional_VNumber-16                	       136 	       134 	       0 	       0 
BenchmarkVom___Decode_____VNumber-16                        	       449 	       209 	       7 	       1 
BenchmarkVom___DecodeMany_VNumber-16                        	       144 	       142 	       1 	       1 
BenchmarkVom___Encode_____XStringSmall-16                   	      1568 	      1366 	      15 	      10 
BenchmarkVom___EncodeMany_XStringSmall-16                   	       220 	       228 	       0 	       0 
BenchmarkVom___EncodeOptional_____XStringSmall-16           	      1593 	      1486 	      16 	      11 
BenchmarkVom___EncodeManyOptional_XStringSmall-16           	       258 	       250 	       1 	       1 
BenchmarkVom___Decode_____XStringSmall-16                   	       633 	       363 	       8 	       2 
BenchmarkVom___DecodeMany_XStringSmall-16                   	       312 	       303 	       2 	       2 
BenchmarkVom___Encode_____VStringSmall-16                   	      1353 	      1098 	      15 	      10 
BenchmarkVom___EncodeMany_VStringSmall-16                   	        81.5 	        63.5 	       0 	       0 
BenchmarkVom___EncodeOptional_____VStringSmall-16           	      1440 	      1193 	      15 	      10 
BenchmarkVom___EncodeManyOptional_VStringSmall-16           	       139 	       121 	       0 	       0 
BenchmarkVom___Decode_____VStringSmall-16                   	       500 	       237 	       8 	       2 
BenchmarkVom___DecodeMany_VStringSmall-16                   	       181 	       165 	       2 	       2 
BenchmarkVom___Encode_____XStringLarge-16                   	     22312 	     22226 	      17 	      12 
BenchmarkVom___EncodeMany_XStringLarge-16                   	      2744 	      2711 	       0 	       0 
BenchmarkVom___EncodeOptional_____XStringLarge-16           	     22444 	     22395 	      18 	      13 
BenchmarkVom___EncodeManyOptional_XStringLarge-16           	      2923 	      2871 	       1 	       1 
BenchmarkVom___Decode_____XStringLarge-16                   	      9752 	     10815 	       8 	       2 
BenchmarkVom___DecodeMany_XStringLarge-16                   	      9601 	     10923 	       2 	       2 
BenchmarkVom___Encode_____VStringLarge-16                   	     23350 	     22604 	      17 	      12 
BenchmarkVom___EncodeMany_VStringLarge-16                   	      2681 	      2601 	       0 	       0 
BenchmarkVom___EncodeOptional_____VStringLarge-16           	     22766 	     23296 	      17 	      12 
BenchmarkVom___EncodeManyOptional_VStringLarge-16           	      2674 	      2811 	       0 	       0 
BenchmarkVom___Decode_____VStringLarge-16                   	      9320 	      9362 	       8 	       2 
BenchmarkVom___DecodeMany_VStringLarge-16                   	      9044 	      9272 	       2 	       2 
BenchmarkVom___Encode_____VEnum-16                          	      1704 	      1441 	      17 	      12 
BenchmarkVom___EncodeMany_VEnum-16                          	        84.3 	        68.2 	       0 	       0 
BenchmarkVom___EncodeOptional_____VEnum-16                  	      1772 	      1652 	      17 	      12 
BenchmarkVom___EncodeManyOptional_VEnum-16                  	       147 	       134 	       0 	       0 
BenchmarkVom___Decode_____VEnum-16                          	       473 	       199 	       7 	       1 
BenchmarkVom___DecodeMany_VEnum-16                          	       162 	       137 	       1 	       1 
BenchmarkVom___Encode_____XByteListSmall-16                 	      1614 	      1397 	      15 	      10 
BenchmarkVom___EncodeMany_XByteListSmall-16                 	       222 	       222 	       0 	       0 
BenchmarkVom___EncodeOptional_____XByteListSmall-16         	      1652 	      1440 	      16 	      11 
BenchmarkVom___EncodeManyOptional_XByteListSmall-16         	       275 	       277 	       1 	       1 
BenchmarkVom___Decode_____XByteListSmall-16                 	       667 	       417 	       9 	       3 
BenchmarkVom___DecodeMany_XByteListSmall-16                 	       362 	       363 	       3 	       3 
BenchmarkVom___Encode_____VByteListSmall-16                 	      1425 	      1171 	      15 	      10 
BenchmarkVom___EncodeMany_VByteListSmall-16                 	        83.0 	        76.0 	       0 	       0 
BenchmarkVom___EncodeOptional_____VByteListSmall-16         	      1499 	      1265 	      15 	      10 
BenchmarkVom___EncodeManyOptional_VByteListSmall-16         	       143 	       129 	       0 	       0 
BenchmarkVom___Decode_____VByteListSmall-16                 	       540 	       281 	       9 	       3 
BenchmarkVom___DecodeMany_VByteListSmall-16                 	       226 	       209 	       3 	       3 
BenchmarkVom___Encode_____XByteListLarge-16                 	     22441 	     22357 	      17 	      12 
BenchmarkVom___EncodeMany_XByteListLarge-16                 	      2662 	      2727 	       0 	       0 
BenchmarkVom___EncodeOptional_____XByteListLarge-16         	     22404 	     22386 	      18 	      13 
BenchmarkVom___EncodeManyOptional_XByteListLarge-16         	      2737 	      2903 	       1 	       1 
BenchmarkVom___Decode_____XByteListLarge-16                 	      9620 	      9450 	       9 	       3 
BenchmarkVom___DecodeMany_XByteListLarge-16                 	      9194 	     10525 	       3 	       3 
BenchmarkVom___Encode_____VByteListLarge-16                 	     21809 	     25001 	      17 	      12 
BenchmarkVom___EncodeMany_VByteListLarge-16                 	      2506 	      2944 	       0 	       0 
BenchmarkVom___EncodeOptional_____VByteListLarge-16         	     22061 	     25673 	      17 	      12 
BenchmarkVom___EncodeManyOptional_VByteListLarge-16         	      2541 	      3131 	       0 	       0 
BenchmarkVom___Decode_____VByteListLarge-16                 	      9318 	     10666 	       9 	       3 
BenchmarkVom___DecodeMany_VByteListLarge-16                 	      9007 	     10719 	       3 	       3 
BenchmarkVom___Encode_____XByteArray-16                     	      1746 	      1741 	      17 	      12 
BenchmarkVom___EncodeMany_XByteArray-16                     	       322 	       334 	       2 	       2 
BenchmarkVom___EncodeOptional_____XByteArray-16             	      1699 	      1495 	      17 	      12 
BenchmarkVom___EncodeManyOptional_XByteArray-16             	       294 	       341 	       2 	       2 
BenchmarkVom___Decode_____XByteArray-16                     	       678 	       488 	       9 	       3 
BenchmarkVom___DecodeMany_XByteArray-16                     	       370 	       407 	       3 	       3 
BenchmarkVom___Encode_____VByteArray-16                     	      1460 	      1371 	      16 	      11 
BenchmarkVom___EncodeMany_VByteArray-16                     	        98.6 	       106 	       1 	       1 
BenchmarkVom___EncodeOptional_____VByteArray-16             	      1537 	      1486 	      16 	      11 
BenchmarkVom___EncodeManyOptional_VByteArray-16             	       155 	       178 	       1 	       1 
BenchmarkVom___Decode_____VByteArray-16                     	       504 	       275 	       8 	       2 
BenchmarkVom___DecodeMany_VByteArray-16                     	       195 	       205 	       2 	       2 
BenchmarkVom___Encode_____XArray-16                         	      1753 	      1715 	      16 	      10 
BenchmarkVom___EncodeMany_XArray-16                         	       308 	       355 	       0 	       0 
BenchmarkVom___EncodeOptional_____XArray-16                 	      1797 	      1724 	      17 	      11 
BenchmarkVom___EncodeManyOptional_XArray-16                 	       352 	       404 	       1 	       1 
BenchmarkVom___Decode_____XArray-16                         	       765 	       480 	       8 	       1 
BenchmarkVom___DecodeMany_XArray-16                         	       380 	       437 	       1 	       1 
BenchmarkVom___Encode_____VArray-16                         	      1571 	      1473 	      16 	      10 
BenchmarkVom___EncodeMany_VArray-16                         	       134 	       138 	       0 	       0 
BenchmarkVom___EncodeOptional_____VArray-16                 	      1645 	      1465 	      16 	      10 
BenchmarkVom___EncodeManyOptional_VArray-16                 	       198 	       220 	       0 	       0 
BenchmarkVom___Decode_____VArray-16                         	       579 	       286 	       8 	       1 
BenchmarkVom___DecodeMany_VArray-16                         	       204 	       214 	       1 	       1 
BenchmarkVom___Encode_____XListSmall-16                     	      1749 	      1680 	      16 	      10 
BenchmarkVom___EncodeMany_XListSmall-16                     	       320 	       355 	       0 	       0 
BenchmarkVom___EncodeOptional_____XListSmall-16             	      1797 	      1724 	      17 	      11 
BenchmarkVom___EncodeManyOptional_XListSmall-16             	       363 	       406 	       1 	       1 
BenchmarkVom___Decode_____XListSmall-16                     	       877 	       655 	      10 	       3 
BenchmarkVom___DecodeMany_XListSmall-16                     	       487 	       550 	       3 	       3 
BenchmarkVom___Encode_____VListSmall-16                     	      1526 	      1438 	      16 	      10 
BenchmarkVom___EncodeMany_VListSmall-16                     	       138 	       146 	       0 	       0 
BenchmarkVom___EncodeOptional_____VListSmall-16             	      1610 	      1554 	      16 	      10 
BenchmarkVom___EncodeManyOptional_VListSmall-16             	       203 	       229 	       0 	       0 
